airport_name,city,country,IATA,latitude,longitude,continent_code,continent,airport
Holy Cross Airport,Holy Cross,United States,HCR,62.18830108642578,-159.77499389648438,NA,North America,Holy Cross (HCR)
Haines Airport,Haines,United States,HNS,59.24380111694336,-135.5240020751953,NA,North America,Haines (HNS)
Kalskag Airport,Kalskag,United States,KLG,61.53630065917969,-160.34100341796875,NA,North America,Kalskag (KLG)
McGrath Airport,Mcgrath,United States,MCG,62.95289993,-155.6060028,NA,North America,Mcgrath (MCG)
Mountain Village Airport,Mountain Village,United States,MOU,62.095401763916016,-163.6820068359375,NA,North America,Mountain Village (MOU)
Aniak Airport,Aniak,United States,ANI,61.58160018920898,-159.54299926757812,NA,North America,Aniak (ANI)
Chevak Airport,Chevak,United States,VAK,61.5409,-165.6005,NA,North America,Chevak (VAK)
Wrangell Airport,Wrangell,United States,WRG,56.48429871,-132.3699951,NA,North America,Wrangell (WRG)
Kushiro Airport,Kushiro,Japan,KUH,43.0410003662,144.192993164,AS,Asia,Kushiro (KUH)
Saga Airport,Saga,Japan,HSG,33.149700164799995,130.302001953,AS,Asia,Saga (HSG)
Nagoya Airport,Nagoya,Japan,NKM,35.255001068115234,136.9239959716797,AS,Asia,Nagoya (NKM)
Iwami Airport,Iwami,Japan,IWJ,34.676399231,131.789993286,AS,Asia,Iwami (IWJ)
Fukushima Airport,Fukushima,Japan,FKS,37.22740173339844,140.43099975585938,AS,Asia,Fukushima (FKS)
Odate Noshiro Airport,Odate Noshiro,Japan,ONJ,40.1918983459,140.371002197,AS,Asia,Odate Noshiro (ONJ)
Shonai Airport,Shonai,Japan,SYO,38.81219863889999,139.787002563,AS,Asia,Shonai (SYO)
Kunsan Air Base,Kunsan,South Korea,KUV,35.90380096435547,126.61599731445312,AS,Asia,Kunsan (KUV)
Wonju/Hoengseong Air Base (K-38/K-46),Wonju,South Korea,WJU,37.441201,127.963858,AS,Asia,Wonju (WJU)
Yangyang International Airport,Sokcho / Gangneung,South Korea,YNY,38.061298,128.669006,AS,Asia,Sokcho / Gangneung (YNY)
Sacheon Air Base/Airport,Sacheon,South Korea,HIN,35.088591,128.071747,AS,Asia,Sacheon (HIN)
Cheongju International Airport/Cheongju Air Base (K-59/G-513),Chongju,South Korea,CJJ,36.717008,127.498741,AS,Asia,Chongju (CJJ)
Camiguin Airport,Camiguin,Philippines,CGM,9.253520011901855,124.70700073242188,AS,Asia,Camiguin (CGM)
Jolo Airport,Jolo,Philippines,JOL,6.0536699295043945,121.01100158691406,AS,Asia,Jolo (JOL)
Surigao Airport,Sangley Point,Philippines,SUG,9.755838325629998,125.480947495,AS,Asia,Sangley Point (SUG)
Naga Airport,Naga,Philippines,WNP,13.58489990234375,123.2699966430664,AS,Asia,Naga (WNP)
Basco Airport,Basco,Philippines,BSO,20.4513,121.980003,AS,Asia,Basco (BSO)
Tuguegarao Airport,Tuguegarao,Philippines,TUG,17.6433676823,121.733150482,AS,Asia,Tuguegarao (TUG)
Virac Airport,Virac,Philippines,VRC,13.57639980316162,124.20600128173828,AS,Asia,Virac (VRC)
Calbayog Airport,Calbayog City,Philippines,CYP,12.072699546813965,124.54499816894533,AS,Asia,Calbayog City (CYP)
Catarman National Airport,Catarman,Philippines,CRM,12.502400398254396,124.63600158691406,AS,Asia,Catarman (CRM)
Moises R. Espinosa Airport,Masbate,Philippines,MBT,12.369682,123.630095,AS,Asia,Masbate (MBT)
Roxas Airport,Roxas City,Philippines,RXS,11.597700119018556,122.7519989013672,AS,Asia,Roxas City (RXS)
Orlando Bezerra de Menezes Airport,Juazeiro Do Norte,Brazil,JDO,-7.21895980835,-39.2700996399,SA,South America,Juazeiro Do Norte (JDO)
Coronel Horácio de Mattos Airport,Lençóis,Brazil,LEC,-12.4822998047,-41.2770004272,SA,South America,Lençóis (LEC)
Macaé Airport,Macaé,Brazil,MEA,-22.343000412,-41.7659988403,SA,South America,Macaé (MEA)
Frank Miloye Milenkowichi–Marília State Airport,Marília,Brazil,MII,-22.1968994141,-49.926399231,SA,South America,Marília (MII)
Vitória da Conquista Airport,Vitória Da Conquista,Brazil,VDC,-14.8627996445,-40.8630981445,SA,South America,Vitória Da Conquista (VDC)
Santa Maria Airport,Santa Maria,Brazil,RIA,-29.711399,-53.688202,SA,South America,Santa Maria (RIA)
San Cristóbal Airport,San Cristóbal,Ecuador,SCY,-0.910206,-89.617401,SA,South America,San Cristóbal (SCY)
Camilo Ponce Enriquez Airport,La Toma (Catamayo),Ecuador,LOH,-3.99589,-79.371902,SA,South America,La Toma (Catamayo) (LOH)
General Rivadeneira Airport,Esmeraldas,Ecuador,ESM,0.9785190224647522,-79.62660217285156,SA,South America,Esmeraldas (ESM)
Caucaya Airport,Puerto Leguízamo,Colombia,LQM,-0.182278,-74.7708,SA,South America,Puerto Leguízamo (LQM)
La Pedrera Airport,La Pedrera,Colombia,LPD,-1.32861,-69.5797,SA,South America,La Pedrera (LPD)
Reyes Murillo Airport,Nuquí,Colombia,NQU,5.6964,-77.2806,SA,South America,Nuquí (NQU)
Obando Airport,Puerto Inírida,Colombia,PDA,3.85353,-67.9062,SA,South America,Puerto Inírida (PDA)
El Yopal Airport,Yopal,Colombia,EYP,5.31911,-72.384,SA,South America,Yopal (EYP)
Capitán de Av. Emilio Beltrán Airport,Guayaramerín,Bolivia,GYA,-10.820599556,-65.3455963135,SA,South America,Guayaramerín (GYA)
Capitán Av. Selin Zeitun Lopez Airport,Riberalta,Bolivia,RIB,-11.0,-66.0,SA,South America,Riberalta (RIB)
Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,Peru,CJA,-7.1391801834106445,-78.4894027709961,SA,South America,Cajamarca (CJA)
Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,HUU,-9.878809928894045,-76.20480346679688,SA,South America,Huánuco (HUU)
